Array Size,Number of Threads,Execution Time (ms)
10,2,5
100,2,1
1000,2,4
10000,2,10
100000,2,34
1000000,2,280
10,3,2
100,3,0
1000,3,1
10000,3,3
100000,3,26
1000000,3,215
10,4,1
100,4,2
1000,4,2
10000,4,3
100000,4,20
1000000,4,184
10,5,2
100,5,1
1000,5,2
10000,5,3
100000,5,28
1000000,5,189
10,6,1
100,6,1
1000,6,1
10000,6,3
100000,6,20
1000000,6,257
10,7,1
100,7,2
1000,7,2
10000,7,5
100000,7,18
1000000,7,205
10,8,1
100,8,2
1000,8,3
10000,8,3
100000,8,18
1000000,8,253
10,9,1
100,9,1
1000,9,4
10000,9,4
100000,9,22
1000000,9,239
10,10,1
100,10,2
1000,10,3
10000,10,4
100000,10,21
1000000,10,185
