Array Size,Execution Time (ms)
10,1
100,0
1000,3
10000,29
100000,2307
1000000,90936
10,0
100,0
1000,0
10000,10
100000,901
1000000,90954
10,0
100,0
1000,0
10000,10
100000,903
1000000,90862
10,0
100,0
1000,0
10000,10
100000,911
1000000,91103
10,0
100,0
1000,0
10000,10
100000,955
1000000,93144
10,0
100,0
1000,1
10000,10
100000,898
1000000,94785
10,0
100,0
1000,0
10000,10
100000,936
1000000,93169
10,0
100,0
1000,0
10000,10
100000,933
1000000,93294
10,0
100,0
1000,0
10000,10
100000,924
1000000,93393
