Array Size,Number of Threads,Execution Time (ms)
10,2,1
100,2,1
1000,2,5
10000,2,10
100000,2,7
1000000,2,66
10,3,0
100,3,0
1000,3,0
10000,3,1
100000,3,13
1000000,3,46
10,4,1
100,4,0
1000,4,2
10000,4,1
100000,4,5
1000000,4,35
10,5,2
100,5,1
1000,5,3
10000,5,1
100000,5,4
1000000,5,33
10,6,1
100,6,1
1000,6,0
10000,6,1
100000,6,4
1000000,6,35
10,7,1
100,7,1
1000,7,0
10000,7,1
100000,7,3
1000000,7,28
10,8,5
100,8,1
1000,8,0
10000,8,1
100000,8,4
1000000,8,25
10,9,1
100,9,1
1000,9,1
10000,9,1
100000,9,3
1000000,9,26
10,10,0
100,10,2
1000,10,1
10000,10,1
100000,10,4
1000000,10,25
