Array Size,Number of Threads,Execution Time (ms)
10,2,2
100,2,0
1000,2,1
10000,2,0
100000,2,5
1000000,2,122
10,3,0
100,3,0
1000,3,0
10000,3,1
100000,3,4
1000000,3,84
10,4,0
100,4,1
1000,4,0
10000,4,0
100000,4,3
1000000,4,79
10,5,0
100,5,0
1000,5,0
10000,5,0
100000,5,3
1000000,5,60
10,6,0
100,6,1
1000,6,1
10000,6,1
100000,6,3
1000000,6,58
10,7,0
100,7,1
1000,7,0
10000,7,1
100000,7,2
1000000,7,50
10,8,0
100,8,0
1000,8,0
10000,8,1
100000,8,3
1000000,8,49
10,9,0
100,9,0
1000,9,0
10000,9,1
100000,9,2
1000000,9,50
10,10,1
100,10,1
1000,10,0
10000,10,1
100000,10,2
1000000,10,51
