Array Size,Number of Threads,Execution Time (ms)
10,2,6
10,3,2
10,4,1
10,5,1
10,6,0
10,7,1
10,8,1
10,9,1
10,10,1
100,2,1
100,3,1
100,4,19
100,5,1
100,6,10
100,7,2
100,8,2
100,9,5
100,10,2
1000,2,2
1000,3,2
1000,4,3
1000,5,2
1000,6,4
1000,7,6
1000,8,6
1000,9,4
1000,10,7
10000,2,10
10000,3,9
10000,4,7
10000,5,9
10000,6,9
10000,7,9
10000,8,7
10000,9,5
10000,10,9
100000,2,29
100000,3,20
100000,4,19
100000,5,20
100000,6,21
100000,7,20
100000,8,22
100000,9,20
100000,10,19
1000000,2,313
1000000,3,183
1000000,4,186
1000000,5,271
1000000,6,244
1000000,7,186
1000000,8,183
1000000,9,178
1000000,10,182
