Array Size,Number of Threads,Execution Time (ms)
10,2,0
100,2,0
1000,2,0
10000,2,4
100000,2,16
1000000,2,39
10,3,1
100,3,1
1000,3,1
10000,3,1
100000,3,3
1000000,3,29
10,4,0
100,4,1
1000,4,0
10000,4,1
100000,4,3
1000000,4,25
10,5,0
100,5,0
1000,5,0
10000,5,1
100000,5,3
1000000,5,24
10,6,1
100,6,2
1000,6,1
10000,6,1
100000,6,2
1000000,6,21
10,7,0
100,7,1
1000,7,0
10000,7,1
100000,7,3
1000000,7,21
10,8,0
100,8,0
1000,8,0
10000,8,1
100000,8,3
1000000,8,19
10,9,0
100,9,0
1000,9,1
10000,9,1
100000,9,3
1000000,9,16
10,10,0
100,10,2
1000,10,0
10000,10,1
100000,10,3
1000000,10,18
