Array Size,Number of Threads,Execution Time (ms)
10,2,0
10,3,1
10,4,1
10,5,0
10,6,1
10,7,0
10,8,1
10,9,0
10,10,1
100,2,1
100,3,3
100,4,5
100,5,1
100,6,3
100,7,1
100,8,1
100,9,1
100,10,1
1000,2,2
1000,3,1
1000,4,1
1000,5,2
1000,6,1
1000,7,1
1000,8,3
1000,9,4
1000,10,1
10000,2,1
10000,3,1
10000,4,1
10000,5,2
10000,6,1
10000,7,5
10000,8,1
10000,9,4
10000,10,5
100000,2,7
100000,3,6
100000,4,5
100000,5,7
100000,6,4
100000,7,3
100000,8,4
100000,9,4
100000,10,3
1000000,2,62
1000000,3,43
1000000,4,37
1000000,5,32
1000000,6,32
1000000,7,34
1000000,8,25
1000000,9,26
1000000,10,23
