Array Size,Number of Threads,Execution Time (ms)
10,2,1
10,3,0
10,4,1
10,5,1
10,6,1
10,7,1
10,8,0
10,9,1
10,10,0
100,2,0
100,3,1
100,4,1
100,5,0
100,6,0
100,7,0
100,8,0
100,9,0
100,10,0
1000,2,0
1000,3,0
1000,4,0
1000,5,0
1000,6,0
1000,7,1
1000,8,0
1000,9,0
1000,10,1
10000,2,1
10000,3,0
10000,4,2
10000,5,1
10000,6,1
10000,7,4
10000,8,2
10000,9,1
10000,10,2
100000,2,4
100000,3,4
100000,4,3
100000,5,3
100000,6,2
100000,7,2
100000,8,2
100000,9,2
100000,10,2
1000000,2,121
1000000,3,83
1000000,4,70
1000000,5,63
1000000,6,48
1000000,7,56
1000000,8,48
1000000,9,48
1000000,10,48
